DateTime,Time,MeasurementCount,OverallJudgment,#d1,#d2,Judgment1,Judgment2,Judgment3,Judgment4,WireLength,WireWidth,TerminalWidth,WireTerminalDistance,WireAngle,InspectionArea,UnpeeledArea,#go,#auto,OutputBufferMargin
28/08/2024,23:47:56,68279106,OK,0,0,0,0,0,0,0.22108,0.06004,0.08848,0.1975,82.10938,0.00788,0,4,1,100
28/08/2024,23:47:56,68279105,OK,0,0,0,0,0,0,0.23855,0.06004,0.09164,0.2212,79.82813,0.00887,0,1,0,100
28/08/2024,23:47:56,68279104,OK,0,0,0,0,0,0,0.23855,0.06004,0.09164,0.2212,79.82813,0.00887,0,3,1,100
28/08/2024,23:47:56,68279103,OK,0,0,0,0,0,0,0.21587,0.06004,0.08848,0.1817,88.34375,0.00841,0,1,0,100
28/08/2024,23:47:56,68279102,OK,0,0,0,0,0,0,0.21587,0.06004,0.08848,0.1817,88.34375,0.00841,0,2,1,100
28/08/2024,23:47:56,68279101,OK,0,0,0,0,0,0,0.22305,0.06004,0.0948,0.20698,83.88672,0.00792,0.00016,1,0,100
28/08/2024,23:47:55,68279100,OK,0,0,0,0,0,0,0.22305,0.06004,0.0948,0.20698,83.88672,0.00792,0.00016,1,1,100
28/08/2024,23:47:55,68279099,OK,0,0,0,0,0,0,0.21356,0.0632,0.08216,0.18644,82.76172,0.00773,0,1,0,100
28/08/2024,23:47:55,68279098,OK,0,0,0,0,0,0,0.21356,0.0632,0.08216,0.18644,82.76172,0.00773,0,4,1,100
28/08/2024,23:47:55,68279097,OK,0,0,0,0,0,0,0.24192,0.06004,0.0948,0.22594,79.66016,0.0089,0,1,0,100
28/08/2024,23:47:55,68279096,OK,0,0,0,0,0,0,0.24192,0.06004,0.0948,0.22594,79.66016,0.0089,0,3,1,100
28/08/2024,23:47:55,68279095,OK,0,0,0,0,0,0,0.22133,0.06004,0.08532,0.15484,87.91016,0.00851,0,1,0,100
28/08/2024,23:47:55,68279094,OK,0,0,0,0,0,0,0.22133,0.06004,0.08532,0.15484,87.91016,0.00851,0,2,1,100
28/08/2024,23:47:55,68279093,OK,0,0,0,0,0,0,0.22756,0.0632,0.09796,0.21014,82.23828,0.008,0,1,0,100
28/08/2024,23:47:54,68279092,OK,0,0,0,0,0,0,0.22756,0.0632,0.09796,0.21014,82.23828,0.008,0,1,1,100
28/08/2024,23:47:54,68279091,OK,0,0,0,0,0,0,0.20849,0.0632,0.09164,0.18802,81.57422,0.00762,0,1,0,100
28/08/2024,23:47:54,68279090,OK,0,0,0,0,0,0,0.20849,0.0632,0.09164,0.18802,81.57422,0.00762,0,4,1,100
28/08/2024,23:47:54,68279089,OK,0,0,0,0,0,0,0.23645,0.06004,0.09164,0.22752,80.84766,0.00882,0,1,0,100
28/08/2024,23:47:54,68279088,OK,0,0,0,0,0,0,0.23645,0.06004,0.09164,0.22752,80.84766,0.00882,0,3,1,100
28/08/2024,23:47:54,68279087,OK,0,0,0,0,0,0,0.24121,0.06004,0.08848,0.16274,89.48047,0.00889,0,1,0,100
28/08/2024,23:47:54,68279086,OK,0,0,0,0,0,0,0.24121,0.06004,0.08848,0.16274,89.48047,0.00889,0,2,1,100
28/08/2024,23:47:53,68279085,OK,0,0,0,0,0,0,0.21207,0.0632,0.08848,0.20856,81.93359,0.00768,0,1,0,100
28/08/2024,23:47:53,68279084,OK,0,0,0,0,0,0,0.21207,0.0632,0.08848,0.20856,81.93359,0.00768,0,1,1,100
28/08/2024,23:47:53,68279083,OK,0,0,0,0,0,0,0.21489,0.0632,0.08532,0.1817,83.38281,0.00773,0,1,0,100
28/08/2024,23:47:53,68279082,OK,0,0,0,0,0,0,0.21489,0.0632,0.08532,0.1817,83.38281,0.00773,0,4,1,100
28/08/2024,23:47:53,68279081,OK,0,0,0,0,0,0,0.23518,0.06004,0.09164,0.21172,81.37891,0.00876,0,1,0,100
28/08/2024,23:47:53,68279080,OK,0,0,0,0,0,0,0.23518,0.06004,0.09164,0.21172,81.37891,0.00876,0,3,1,100
28/08/2024,23:47:53,68279079,OK,0,0,0,0,0,0,0.23249,0.06004,0.08848,0.1659,87.83984,0.00876,0,1,0,100
28/08/2024,23:47:53,68279078,OK,0,0,0,0,0,0,0.23249,0.06004,0.08848,0.1659,87.83984,0.00876,0,2,1,100
28/08/2024,23:47:52,68279077,OK,0,0,0,0,0,0,0.22723,0.06004,0.0948,0.2133,82.45703,0.00801,0,1,0,100
28/08/2024,23:47:52,68279076,OK,0,0,0,0,0,0,0.22723,0.06004,0.0948,0.2133,82.45703,0.00801,0,1,1,100
28/08/2024,23:47:52,68279075,OK,0,0,0,0,0,0,0.1999,0.0632,0.09164,0.20382,80.98047,0.00743,0,1,0,100
28/08/2024,23:47:52,68279074,OK,0,0,0,0,0,0,0.1999,0.0632,0.09164,0.20382,80.98047,0.00743,0,4,1,100
28/08/2024,23:47:52,68279073,OK,0,0,0,0,0,0,0.24523,0.05688,0.0948,0.1738,84.63281,0.00901,0,1,0,100
28/08/2024,23:47:52,68279072,OK,0,0,0,0,0,0,0.24523,0.05688,0.0948,0.1738,84.63281,0.00901,0,3,1,100
28/08/2024,23:47:52,68279071,OK,0,0,0,0,0,0,0.25375,0.06004,0.08532,0.1896,84.64062,0.00914,0,1,0,100
28/08/2024,23:47:51,68279070,OK,0,0,0,0,0,0,0.25375,0.06004,0.08532,0.1896,84.64062,0.00914,0,2,1,100
28/08/2024,23:47:51,68279069,OK,0,0,0,0,0,0,0.19834,0.06004,0.09164,0.21172,81.15234,0.00741,0,1,0,100
28/08/2024,23:47:51,68279068,OK,0,0,0,0,0,0,0.19834,0.06004,0.09164,0.21172,81.15234,0.00741,0,1,1,100
28/08/2024,23:47:51,68279067,OK,0,0,0,0,0,0,0.20368,0.06004,0.0948,0.19118,82.21094,0.00755,0,1,0,100
28/08/2024,23:47:51,68279066,OK,0,0,0,0,0,0,0.20368,0.06004,0.0948,0.19118,82.21094,0.00755,0,4,1,100
28/08/2024,23:47:51,68279065,OK,0,0,0,0,0,0,0.25109,0.06004,0.0948,0.16906,84.83203,0.00913,0,1,0,100
28/08/2024,23:47:51,68279064,OK,0,0,0,0,0,0,0.25109,0.06004,0.0948,0.16906,84.83203,0.00913,0,3,1,100
28/08/2024,23:47:50,68279063,OK,0,0,0,0,0,0,0.24901,0.06004,0.08532,0.21488,89.19531,0.00908,0,1,0,100
28/08/2024,23:47:50,68279062,OK,0,0,0,0,0,0,0.24901,0.06004,0.08532,0.21488,89.19531,0.00908,0,2,1,100
28/08/2024,23:47:50,68279061,OK,0,0,0,0,0,0,0.19841,0.0632,0.0948,0.21172,80.96484,0.00743,0,1,0,100
