DateTime,Time,MeasurementCount,OverallJudgment,SP_No,SP_Side,S1X,S1Y,S1L,S2X,S2Y,S2L,F1X,F1Y,F1L,F2X,F2Y,F2L,OutputBufferMargin
29/08/2024,20:13.0,8442256,OK,5,1,2.41073,1.20138,0.18524,2.45262,1.21394,0.20678,2.42366,1.20445,0.16784,2.38684,1.26997,0.17162,100
29/08/2024,20:13.0,8442255,OK,5,2,2.42048,1.185,0.19098,2.43563,1.27507,0.17749,2.42983,1.22864,0.16199,2.3974,1.25799,0.17841,100
29/08/2024,20:13.0,8442254,OK,6,1,2.42562,1.18366,0.19471,2.4343,1.25869,0.19528,2.45869,1.27866,0.2097,2.43927,1.21589,0.21835,100
29/08/2024,20:13.0,8442253,OK,6,2,2.41743,1.17635,0.18139,2.45292,1.26682,0.20223,2.46782,1.24259,0.20717,2.42846,1.25111,0.20255,100
29/08/2024,20:13.0,8442252,OK,7,1,2.41713,1.20636,0.18241,2.46237,1.23654,0.20355,2.47902,1.20326,0.21035,2.40663,1.25193,0.18215,100
29/08/2024,20:13.0,8442251,OK,7,2,2.42772,1.19106,0.18581,2.43203,1.25537,0.18879,2.46341,1.25489,0.21019,2.42754,1.22058,0.19555,100
29/08/2024,20:13.0,8442250,OK,8,1,2.42025,1.19823,0.20209,2.44751,1.20928,0.18785,2.42657,1.21576,0.15674,2.38842,1.24488,0.1808,100
29/08/2024,20:13.0,8442249,OK,8,2,2.41956,1.17955,0.18814,2.43085,1.27126,0.18913,2.43275,1.2658,0.18102,2.42982,1.22413,0.2084,100
29/08/2024,20:13.0,8442248,OK,9,1,2.41246,1.19083,0.1752,2.42163,1.29872,0.16742,2.46462,1.26926,0.20047,2.4515,1.21077,0.22428,100
29/08/2024,20:13.0,8442247,OK,9,2,2.41989,1.20438,0.19238,2.43673,1.26842,0.19367,2.46109,1.26227,0.20803,2.44232,1.19277,0.22477,100
29/08/2024,20:13.0,8442246,OK,10,1,2.42999,1.18999,0.19216,2.42005,1.25027,0.17795,2.45095,1.25924,0.19889,2.44476,1.21627,0.21688,100
29/08/2024,20:13.0,8442245,OK,10,2,2.43544,1.18237,0.19121,2.42548,1.254,0.18893,2.46359,1.26456,0.21716,2.4608,1.20553,0.22644,100
29/08/2024,20:13.0,8442244,OK,11,1,2.43793,1.17504,0.20506,2.43655,1.26462,0.19441,2.45441,1.18795,0.20225,2.43855,1.27609,0.21565,100
29/08/2024,20:13.0,8442243,OK,11,2,2.47025,1.1662,0.22929,2.43635,1.27381,0.20094,2.43075,1.20528,0.18494,2.43466,1.2486,0.2032,100
29/08/2024,20:13.0,8442242,OK,12,1,2.44095,1.18884,0.20943,2.45743,1.21027,0.21122,2.47494,1.21965,0.2187,2.44246,1.23232,0.22102,100
29/08/2024,20:12.0,8442241,OK,12,2,2.43726,1.19257,0.20843,2.44002,1.25417,0.20006,2.49923,1.24103,0.24928,2.47738,1.22683,0.25857,100
29/08/2024,20:01.0,8442240,OK,1,1,2.43031,1.19195,0.19424,2.445,1.27302,0.20136,2.44764,1.27057,0.194,2.4106,1.19811,0.18453,100
29/08/2024,20:01.0,8442239,OK,1,2,2.41969,1.1821,0.19071,2.44109,1.2791,0.19018,2.46315,1.26131,0.20229,2.44549,1.18377,0.22649,100
29/08/2024,20:01.0,8442238,OK,2,1,2.42396,1.17074,0.19076,2.42138,1.22146,0.17761,2.45424,1.24043,0.20046,2.41616,1.23573,0.19296,100
